state,location,type,so2,no2
,,,mean,mean
andhra pradesh,ananthapur,residential,4.65,11.19
andhra pradesh,chittoor,residential,4.98,10.71
andhra pradesh,chittoor,sensitive area,4.41,11.15
andhra pradesh,eluru,residential,5.13,20.83
andhra pradesh,guntur,residential,4.27,16.2
andhra pradesh,hyderabad,industrial area,5.41,28.39
andhra pradesh,hyderabad,residential,5.52,25.67
andhra pradesh,hyderabad,sensitive area,4.57,16.39
andhra pradesh,kadapa,industrial area,4.64,10.39
andhra pradesh,kakinada,residential,9.71,18.93
andhra pradesh,karimnagar,residential,6.73,11.89
andhra pradesh,khammam,residential,3.97,14.04
andhra pradesh,kurnool,residential,4.16,10.65
andhra pradesh,nalgonda,industrial area,4.11,16.68
andhra pradesh,nalgonda,residential,4.29,17.97
andhra pradesh,nellore,residential,4.28,16.94
andhra pradesh,nizamabad,residential,4.81,12.41
andhra pradesh,ongole,residential,4.71,22.39
andhra pradesh,patancheru,residential,9.92,22.95
andhra pradesh,rajahmundry,industrial area,9.59,17.63
andhra pradesh,ramagundam,residential,6.57,14.07
andhra pradesh,sangareddy,industrial area,13.47,22.69
andhra pradesh,sangareddy,residential,4.91,12.24
andhra pradesh,srikakulam,industrial area,11.47,20.13
andhra pradesh,tirupati,sensitive area,4.18,10.93
andhra pradesh,vijayawada,industrial area,5.99,25.99
andhra pradesh,vijayawada,residential,5.2,24.31
andhra pradesh,visakhapatnam,industrial area,9.73,19.49
andhra pradesh,visakhapatnam,residential,11.6,25.95
andhra pradesh,visakhapatnam,sensitive area,9.73,22.69
andhra pradesh,vizianagaram,industrial area,11.92,21.53
andhra pradesh,warangal,residential,5.72,11.56
arunachal pradesh,itanagar,residential,3.38,6.16
arunachal pradesh,naharlagun,residential,2.97,4.72
assam,bongaigaon,residential,5.97,13.12
assam,daranga,residential,5.66,13.39
assam,dibrugarh,residential,6.02,13.39
assam,golaghat,residential,6.07,13.8
assam,guwahati,residential,7.15,15.36
assam,hailakandi,residential,5.74,12.85
assam,lakhimpur,residential,6.39,14.63
assam,margherita,residential,8.75,18.38
assam,nagaon,residential,6.76,14.16
assam,nalbari,residential,6.6,15.68
assam,sibsagar,residential,4.96,11.75
assam,silchar,residential,5.57,14.46
assam,silcher,residential,6.39,14.88
assam,sivasagar,residential,6.54,13.74
assam,tezpur,residential,5.85,12.71
assam,tinsukia,residential,6.3,13.44
bihar,dhanbad,residential,35.28,41.31
bihar,jamshedpur,industrial area,43.55,45.21
bihar,jamshedpur,residential,51.3,51.05
bihar,jharia,industrial area,39.62,46.46
bihar,patna,residential,9.48,34.8
bihar,sindri,industrial area,35.96,43.78
chandigarh,chandigarh,industrial area,3.57,25.88
chandigarh,chandigarh,residential,2.41,19.72
chhattisgarh,bhilai,industrial area,11.5,30.83
chhattisgarh,bhilai,residential,7.48,18.56
chhattisgarh,bhilai nagar,industrial area,24.74,31.39
chhattisgarh,bhilai nagar,residential,14.86,22.35
chhattisgarh,bilaspur,residential,5.62,21.61
chhattisgarh,korba,residential,12.81,20.26
chhattisgarh,raipur,industrial area,14.41,39.1
chhattisgarh,raipur,residential,14.22,38.29
dadra & nagar haveli,khadoli,industrial area,8.61,20.08
dadra & nagar haveli,silvassa,industrial area,9.37,17.36
dadra & nagar haveli,silvassa,residential,9.97,17.5
daman & diu,daman,industrial area,8.65,19.28
daman & diu,daman,residential,9.64,16.52
daman & diu,daman diu & nagar,industrial area,6.72,7.08
daman & diu,daman diu & nagar,residential,5.21,5.9
delhi,delhi,industrial area,10.4,51.18
delhi,delhi,residential,7.68,55.35
goa,amona,residential,6.97,12.04
goa,assanora,residential,6.5,11.37
goa,bicholim,residential,6.71,12.23
goa,codli,residential,6.87,12.13
goa,cuncolim,industrial area,3.88,8.63
goa,curchorem,residential,5.93,12.48
goa,honda,residential,7.54,12.71
goa,kundaim,industrial area,5.41,10.98
goa,mapusa,residential,8.66,11.26
goa,margao,residential,5.12,10.32
goa,mormugao,industrial area,5.63,13.75
goa,panaji,residential,5.17,13.54
goa,ponda,residential,4.94,10.07
goa,sanguem,residential,5.46,10.38
goa,tilamol,residential,5.62,10.51
goa,usgao,residential,8.38,11.83
goa,vasco,industrial area,5.66,13.74
gujarat,ankleshwar,residential,18.94,22.9
gujarat,ahmedabad,industrial area,15.14,24.65
gujarat,ahmedabad,residential,13.53,20.79
gujarat,ankleshwar,industrial area,22.78,26.84
gujarat,ankleshwar,residential,19.72,22.32
gujarat,anklesvar,industrial area,23.58,30.19
gujarat,anklesvar,residential,18.68,26.06
gujarat,baroda,industrial area,25.66,27.88
gujarat,baroda,residential,24.91,23.38
gujarat,bharuch,residential,13.42,20.79
gujarat,bhuj,residential,13.38,20.71
gujarat,jamnagar,residential,11.65,24.19
gujarat,morbi,residential,13.72,20.65
gujarat,rajkot,industrial area,13.04,19.0
gujarat,rajkot,residential,11.32,15.52
gujarat,sanand,residential,14.04,21.3
gujarat,sarigam,residential,14.0,21.04
gujarat,surat,industrial area,23.48,28.47
gujarat,surat,residential,18.58,25.15
gujarat,vapi,residential,12.58,19.71
gujarat,vadodara,industrial area,20.92,37.1
gujarat,vadodara,residential,13.11,21.53
gujarat,vapi,industrial area,20.09,28.63
gujarat,vapi,residential,16.62,25.4
haryana,dharuhera,industrial area,37.8,32.1
